Date,Open,High,Low,Close,Volume,Adj Close
2016-04-14,143.490005,144.699997,140.529999,141.440002,1009100,140.316498
2016-04-13,140.00,143.279999,139.119995,142.740005,1072700,141.606174
2016-04-12,139.339996,140.330002,136.240005,137.190002,1284700,136.100257
2016-04-11,144.759995,145.419998,138.679993,138.910004,1135500,137.806595
2016-04-08,145.669998,146.550003,142.009995,143.25,1076400,142.112118
2016-04-07,144.240005,146.029999,142.600006,144.860001,1236400,143.70933
2016-04-06,141.699997,145.550003,140.720001,144.699997,1026700,143.550597
2016-04-05,140.259995,142.190002,139.100006,141.300003,1077000,140.17761
2016-04-04,142.960007,144.160004,139.830002,141.309998,1102500,140.187525
2016-04-01,142.320007,143.339996,140.350006,143.020004,1062900,141.883949
2016-03-31,143.089996,146.00,142.649994,143.580002,1085000,142.439498
2016-03-30,139.860001,143.289993,139.50,142.630005,1167100,141.497047
2016-03-29,139.880005,140.029999,136.369995,138.860001,1882600,137.756989
2016-03-28,144.380005,144.550003,139.649994,140.00,892500,138.887933
2016-03-24,145.00,145.00,141.729996,144.479996,756100,143.332343
2016-03-23,148.649994,149.369995,144.139999,145.759995,982300,144.602174
2016-03-22,148.470001,150.940002,148.039993,149.479996,837500,148.292626
2016-03-21,147.679993,149.990005,147.00,148.690002,784700,147.508908
2016-03-18,151.279999,151.279999,145.50,147.839996,1931900,146.665654
2016-03-17,151.00,155.449997,150.929993,151.910004,1374100,150.703332
2016-03-16,145.919998,150.779999,144.539993,150.75,986900,149.552543
2016-03-15,144.889999,147.639999,144.309998,146.279999,2547500,145.118048
2016-03-14,143.190002,149.789993,143.190002,146.580002,1143800,145.415668
2016-03-11,142.00,144.800003,140.979996,144.119995,1230000,142.975202
2016-03-10,140.130005,142.00,137.279999,139.399994,1087200,138.292693
2016-03-09,139.360001,140.600006,136.289993,140.470001,978900,139.354201
2016-03-08,140.679993,142.970001,137.240005,137.679993,1180900,135.951445
2016-03-07,141.639999,143.220001,139.630005,141.619995,992400,139.841981
2016-03-04,141.25,144.889999,140.300003,141.729996,1342000,139.950601
2016-03-03,134.919998,141.220001,134.860001,140.059998,1025600,138.301569
2016-03-02,140.679993,141.690002,132.600006,135.919998,1476000,134.213546
